system:index,LST_Day,LST_Night,especie,fecha,satelite,.geo
1_1_1_2022_08_29,14.72024440619624,-0.32321858864023945,pino,2022-08-29,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_09_06,13.83424784853704,-0.848223752151438,pino,2022-09-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_09_14,10.865926873857433,-3.935142857142831,pino,2022-09-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_09_22,18.58229604130813,-0.6578623063683081,pino,2022-09-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_09_30,21.91755938037869,0.9167882960413326,pino,2022-09-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_10_08,20.753166953528424,-0.3424888123924067,pino,2022-10-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_10_16,24.70375559380382,3.7608433734940054,pino,2022-10-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_10_24,20.463184165232395,0.3760034423408169,pino,2022-10-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_11_01,33.12910499139417,6.343845094664401,pino,2022-11-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_11_09,26.969759036144612,6.586330464716039,pino,2022-11-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_11_17,29.740320137693665,5.869793459552523,pino,2022-11-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_11_25,32.98439586919108,9.517820998278859,pino,2022-11-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_12_03,27.699872633390736,7.36642685025821,pino,2022-12-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_12_11,30.935438898450986,7.41534251290881,pino,2022-12-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_12_19,32.7649328743546,8.041738382099856,pino,2022-12-19,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2022_12_27,35.179769363167,7.6069500860585535,pino,2022-12-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_01_01,37.36364543889849,9.93608605851982,pino,2023-01-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_01_09,34.49740103270228,6.552533562822744,pino,2023-01-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_01_17,35.30932530120485,10.814833046471634,pino,2023-01-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_01_25,36.60178657487094,8.61134939759039,pino,2023-01-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_02_02,39.24254388984512,12.339363166953552,pino,2023-02-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_02_10,30.558798623063723,6.896024096385576,pino,2023-02-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_02_18,32.26435456110159,7.942612736660959,pino,2023-02-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_02_26,32.41349741824443,8.94013425129091,pino,2023-02-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_03_06,28.822612736660975,10.24910499139418,pino,2023-03-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_03_14,26.71382788296046,6.999204819277138,pino,2023-03-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_03_22,29.296802065404503,6.664643717728083,pino,2023-03-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_03_30,24.081318416523263,4.694488812392461,pino,2023-03-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_04_07,20.36113961157936,4.3898072289156955,pino,2023-04-07,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_04_15,19.458302925989702,3.524196213425158,pino,2023-04-15,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_04_23,19.834888123924312,3.708877796901921,pino,2023-04-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_05_01,14.153972461273693,1.9311359724613073,pino,2023-05-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_05_09,16.515803786574896,3.878440619621368,pino,2023-05-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_05_17,8.35178313253015,-0.4935180722891307,pino,2023-05-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_05_25,5.699123595505649,-1.0830877796901548,pino,2023-05-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_06_02,5.962013769363203,-1.629153184165204,pino,2023-06-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_06_10,3.7623235800344506,-4.663040662108651,pino,2023-06-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_06_18,7.4184825636192535,-2.775025817555905,pino,2023-06-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_06_26,4.4477168438724455,-1.3514251290877493,pino,2023-06-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_07_04,3.498984509466467,-4.273724612736633,pino,2023-07-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_07_12,2.349022375215176,-6.164154905335605,pino,2023-07-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_07_20,4.108455070940642,-1.0793218588639952,pino,2023-07-20,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_07_28,9.573566265060265,-1.5088433734939481,pino,2023-07-28,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_08_05,9.031432013769388,-0.8692082616178723,pino,2023-08-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_08_13,6.300251290877826,0.2388674698795475,pino,2023-08-13,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_08_21,5.783721170395897,-4.41683648881237,pino,2023-08-21,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_08_29,6.270275387263365,-4.967624784853673,pino,2023-08-29,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_09_06,7.530372285418857,-2.0421721170395615,pino,2023-09-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_09_14,7.491279750292659,-3.614846815834737,pino,2023-09-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2023_09_22,14.993215146299518,-0.7819586919104674,pino,2023-09-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
